Level1,Level2,Inicial,Vigente,Variacion
INTELIGENCIA,DEPARTAMENTO ADMINISTRATIVO DIRECCIÓN NACIONAL DE INTELIGENCIA - GESTIÓN GENERAL,0.090594886,0.090594886,0
CIENCIA Y TECNOLOGIA,"DEPARTAMENTO ADMINISTRATIVO DE LA CIENCIA, TECNOLOGIA E INNOVACION - GESTION GENERAL",0.359118037,0.379163772,0.020045735
INFORMACION ESTADISTICA,"DEPARTAMENTO ADMINISTRATIVO NACIONAL DE ESTADISTICA (DANE) - GESTION GENERAL",0.156941149,0.210346649,0.0534055
INFORMACION ESTADISTICA,"FONDO ROTATORIO DEL DANE",0.007757013,0.024011315,0.016254302
INFORMACION ESTADISTICA,"INSTITUTO GEOGRAFICO AGUSTIN CODAZZI - IGAC",0.140825761,0.155825761,0.015
CULTURA,"ARCHIVO GENERAL DE LA NACION",0.029761654,0.029761654,0
CULTURA,"INSTITUTO CARO Y CUERVO",0.01207339,0.01207339,0
CULTURA,"INSTITUTO COLOMBIANO DE ANTROPOLOGIA E HISTORIA",0.015764172,0.015764172,0
CULTURA,"MINISTERIO DE CULTURA - GESTION GENERAL",0.302024369,0.346854369,0.04483
EMPLEO PUBLICO,"COMISION NACIONAL DEL SERVICIO CIVIL",0.055697234,0.055697234,0
EMPLEO PUBLICO,"DEPARTAMENTO FUNCION PUBLICA - GESTION GENERAL",0.029504037,0.038504037,0.009
EMPLEO PUBLICO,"ESCUELA SUPERIOR DE ADMINISTRACION PUBLICA (ESAP)",0.266303019,0.328770604,0.062467585
CONGRESO DE LA REPUBLICA,"CÁMARA DE REPRESENTANTES",0.276288522,0.276288522,0
CONGRESO DE LA REPUBLICA,"SENADO DE LA REPÚBLICA",0.223137359,0.223137359,0
PLANEACION,"DEPARTAMENTO DE PLANEACION - GESTION GENERAL",0.374587678,0.376054101,0.001466423
PLANEACION,"FONDO NACIONAL DE REGALIAS",0.040938809,0.040938809,0
PLANEACION,"SUPERINTENDENCIA DE SERVICIOS PUBLICOS DOMICILIARIOS",0.125898353,0.125898353,0
PLANEACION,"UNIDAD ADMINISTRATIVA ESPECIAL - AGENCIA NACIONAL DE CONTRATACIÓN PÚBLICA - COLOMBIA COMPRA EFICIENTE.",0.017745034,0.017745034,0
DEPORTE Y RECREACION,"DEPARTAMENTO ADMINISTRATIVO DEL DEPORTE, LA RECREACIÓN, LA ACTIVIDAD FÍSICA Y EL APROVECHAMIENTO DEL TIEMPO LIBRE – COLDEPORTES - GESTIÓN GENERAL",0.398858818,0.585350231,0.186491413
AMBIENTE Y DESARROLLO SOSTENIBLE,"AUTORIDAD NACIONAL DE LICENCIAS AMBIENTALES ANLA",0.024563264,0.024563264,0
AMBIENTE Y DESARROLLO SOSTENIBLE,"CORPORACION  PARA EL DESARROLLO SOSTENIBLE DE LA MOJANA Y EL SAN JORGE - CORPOMOJANA",0.002116506,0.008340483,0.006223977
AMBIENTE Y DESARROLLO SOSTENIBLE,"CORPORACION  PARA EL DESARROLLO SOSTENIBLE DEL NORTE Y ORIENTE DE LA AMAZONIA - CDA",0.004392325,0.008912504,0.004520179
AMBIENTE Y DESARROLLO SOSTENIBLE,"CORPORACION AUTONOMA REGIONAL DE BOYACA (CORPOBOYACA)",0.003493461,0.003493461,0
AMBIENTE Y DESARROLLO SOSTENIBLE,"CORPORACION AUTONOMA REGIONAL DE CALDAS (CORPOCALDAS)",0.003073597,0.003073597,0
AMBIENTE Y DESARROLLO SOSTENIBLE,"CORPORACION AUTONOMA REGIONAL DE CHIVOR (CORPOCHIVOR)",0.001896056,0.004162668,0.002266612
AMBIENTE Y DESARROLLO SOSTENIBLE,"CORPORACION AUTONOMA REGIONAL DE LA FRONTERA NORORIENTAL (CORPONOR)",0.003026058,0.003526058,0.0005
AMBIENTE Y DESARROLLO SOSTENIBLE,"CORPORACION AUTONOMA REGIONAL DE LA GUAJIRA (CORPOGUAJIRA)",0.003241557,0.004109276,0.000867719
AMBIENTE Y DESARROLLO SOSTENIBLE,"CORPORACION AUTONOMA REGIONAL DE LA ORINOQUIA (CORPORINOQUIA)",0.001718021,0.004849224,0.003131203
AMBIENTE Y DESARROLLO SOSTENIBLE,"CORPORACION AUTONOMA REGIONAL DE LAS CUENCAS DE LOS RIOS NEGRO Y NARE - CORNARE",0,0.007221291,0.007221291
